Job Title,Company Name,City,Province Code
Digital and Emerging Technology Risk Officer,BMO Financial Group,Toronto,ON
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
"Senior Machine Learning Engineer, Content Intelligence Team...",LogMeIn,Montréal,QC
"Product Manager, Analytics",PagerDuty,Toronto,ON
Data Analyst,CARFAX Canada,London,ON
"Manager, Data Science (Harlequin Trade Publishing)",HarperCollins Publishers,Toronto,ON
"Senior Analyst, Business Intelligence, COE",Loblaw Companies Limited,Brampton,ON
"Senior Manager, Research & Data Science",BMO Financial Group,Toronto,ON
Data Scientist,CGI,Ottawa,ON
BI / Big Data Developer,Ubisoft,Montréal,QC
Senior Data Scientist (Technology Group),Ubisoft,Montréal,QC
"Product Manager, Analytics",PagerDuty,Toronto,ON
"Manager, Data Science (Harlequin Trade Publishing)",HarperCollins Publishers,Toronto,ON
Adoption Data Analytics & Reporting Co-op/Intern,TD Bank,West,ON
"Embedded Systems, Machine Learning Developer",wrnch,Montréal,QC
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,BC IMC,Victoria,BC
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
2021 Corporate & Investment Bank - Quantitative Analytics Su...,"JPMorgan Chase Bank, N.A.",Scarborough,ON
BI / Big Data Developer,Ubisoft,Montréal,QC
"Senior Analyst, Business Intelligence, COE",Loblaw Companies Limited,Brampton,ON
Data Science – 4 Month Co-op/Internship (Winter 2021),Intact,Toronto,ON
Data Scientist,CGI,Ottawa,ON
"Team Lead, Machine Learning Software Engineering",Loblaw Digital,Toronto,ON
Senior Business Intelligence Analyst,BMW Group Financial Services Canada,Toronto,ON
"Senior Manager, Research & Data Science",BMO Financial Group,Toronto,ON
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,BC IMC,Victoria,BC
Senior Statistician,PHSA,Vancouver,BC
"Embedded Systems, Machine Learning Developer",wrnch,Montréal,QC
"Manager, Research and Data Science",BMO Financial Group,Toronto,ON
Senior Data Scientist (Technology Group),Ubisoft,Montréal,QC
"Senior Machine Learning Engineer, Content Intelligence Team...",LogMeIn,Montréal,QC
"Senior Data Scientist, Intact Lab",Intact,Montréal,QC
"Senior Analyst, Business Intelligence, COE",Loblaw Companies Limited,Brampton,ON
Adoption Data Analytics & Reporting Co-op/Intern,TD Bank,West,ON
"Team Lead, Machine Learning Software Engineering",Loblaw Digital,Toronto,ON
Data Scientist,CGI,Ottawa,ON
"Manager, Data Science (Harlequin Brand Group)",HarperCollins Publishers,Toronto,ON
Junior Data Analyst - Student Intern,The Mustard Seed,Calgary,AB
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
BI / Big Data Developer,Ubisoft,Montréal,QC
"Product Manager, Analytics",PagerDuty,Toronto,ON
"Senior Analyst, Business Intelligence, COE",Loblaw Companies Limited,Brampton,ON
Data Analyst,CARFAX Canada,London,ON
"Senior Machine Learning Engineer, Content Intelligence Team...",LogMeIn,Montréal,QC
Senior Data Scientist (Technology Group),Ubisoft,Montréal,QC
Senior Business Intelligence Analyst,BMW Group Financial Services Canada,Toronto,ON
"Manager, Data Science (Harlequin Brand Group)",HarperCollins Publishers,Toronto,ON
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
BI / Big Data Developer,Ubisoft,Montréal,QC
"Senior Manager, Research & Data Science",BMO Financial Group,Toronto,ON
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,BC IMC,Victoria,BC
Data Scientist,CGI,Ottawa,ON
"Applied Scientist, Alexa Speech","AMZN CAN Fulfillment Svcs, ULC",Toronto,ON
Adoption Data Analytics & Reporting Co-op/Intern,TD Bank,West,ON
Junior Data Analyst - Student Intern,The Mustard Seed,Calgary,AB
"Senior Analyst, Business Intelligence, COE",Loblaw Companies Limited,Brampton,ON
Data Analyst,CARFAX Canada,London,ON
"Manager, Data Science (Harlequin Brand Group)",HarperCollins Publishers,Toronto,ON
Senior Statistician,PHSA,Vancouver,BC
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,BC IMC,Victoria,BC
"Senior Machine Learning Engineer, Content Intelligence Team...",LogMeIn,Montréal,QC
"Embedded Systems, Machine Learning Developer",wrnch,Montréal,QC
"Senior Data Scientist, Intact Lab",Intact,Montréal,QC
"Senior Manager, Research & Data Science",BMO Financial Group,Toronto,ON
Adoption Data Analytics & Reporting Co-op/Intern,TD Bank,West,ON
"Applied Scientist, Alexa Speech","AMZN CAN Fulfillment Svcs, ULC",Toronto,ON
BI / Big Data Developer,Ubisoft,Montréal,QC
Digital and Emerging Technology Risk Officer,BMO Financial Group,Toronto,ON
Data Scientist,CGI,Ottawa,ON
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
"Senior Manager, Research & Data Science",BMO Financial Group,Toronto,ON
"Embedded Systems, Machine Learning Developer",wrnch,Montréal,QC
Senior Business Intelligence Analyst,BMW Group Financial Services Canada,Toronto,ON
"Product Manager, Analytics",PagerDuty,Toronto,ON
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,BC IMC,Victoria,BC
Anonymization Data Analyst,IQVIA,Ontario,
"Senior Analyst, Business Intelligence, COE",Loblaw Companies Limited,Brampton,ON
Senior Statistician,PHSA,Vancouver,BC
BI / Big Data Developer,Ubisoft,Montréal,QC
"Manager, Data Science (Harlequin Brand Group)",HarperCollins Publishers,Toronto,ON
Junior Data Analyst - Student Intern,The Mustard Seed,Calgary,AB
Adoption Data Analytics & Reporting Co-op/Intern,TD Bank,West,ON
Data Scientist,CGI,Ottawa,ON
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
Data Science Bilingual- 4 months Co-op/Internship (Winter 20...,Intact,Quebec City,QC
"Product Manager, Analytics",PagerDuty,Toronto,ON
Data Analyst,CARFAX Canada,London,ON
Anonymization Data Analyst,IQVIA,Ontario,
"Manager, Research and Data Science",BMO Financial Group,Toronto,ON
"Manager, Data Science (Harlequin Trade Publishing)",HarperCollins Publishers,Toronto,ON
Senior Statistical Programmer,IQVIA,Kirkland,QC
Senior Statistician,PHSA,Vancouver,BC
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,BC IMC,Victoria,BC
Adoption Data Analytics & Reporting Co-op/Intern,TD Bank,West,ON
"Team Lead, Machine Learning Software Engineering",Loblaw Digital,Toronto,ON
BI / Big Data Developer,Ubisoft,Montréal,QC
Senior Business Intelligence Analyst,BMW Group Financial Services Canada,Toronto,ON
Data Science – 4 Month Co-op/Internship (Winter 2021),Intact,Toronto,ON
"Senior Manager, Research & Data Science",BMO Financial Group,Toronto,ON
